CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,PRICE
0.00632,18,2.31,0,0.538,6.58,65,4.09,1,296,15.3,396.9,4.98,24.0
0.02731,0,7.07,0,0.469,6.42,79,4.97,2,242,17.8,396.9,9.14,21.6
0.02729,0,7.07,0,0.469,7.18,61,4.97,2,242,17.8,392.83,4.03,34.7
0.03237,0,2.18,0,0.458,7.0,46,6.06,3,222,18.7,394.63,2.94,33.4
0.06905,0,2.18,0,0.458,7.15,54,6.06,3,222,18.7,396.9,5.33,36.2
0.02985,0,2.18,0,0.458,6.43,59,6.06,3,222,18.7,394.12,5.21,28.7
0.08829,12,7.87,0,0.524,6.01,67,5.56,5,311,15.2,395.6,12.43,22.9
0.14455,12,7.87,0,0.524,6.17,96,5.95,5,311,15.2,396.9,19.15,27.1
0.21124,12,7.87,0,0.524,5.63,100,6.08,5,311,15.2,386.63,29.93,16.5
0.17004,12,7.87,0,0.524,6.0,86,6.59,5,311,15.2,386.71,17.1,18.9
0.22489,12,7.87,0,0.524,6.38,94,6.35,5,311,15.2,392.52,20.45,15.0
0.11747,12,7.87,0,0.524,6.01,83,6.23,5,311,15.2,396.9,13.27,18.9
0.09378,12,7.87,0,0.524,5.89,39,5.45,5,311,15.2,390.5,15.71,21.7
0.62976,0,8.14,0,0.538,5.95,62,4.71,4,307,21.0,396.9,8.26,20.4
0.63796,0,8.14,0,0.538,6.1,84,4.46,4,307,21.0,380.02,10.26,18.2
0.62739,0,8.14,0,0.538,5.83,56,4.5,4,307,21.0,395.62,8.47,19.9
1.05393,0,8.14,0,0.538,5.94,29,4.5,4,307,21.0,386.85,6.58,23.1
0.7842,0,8.14,0,0.538,5.99,82,4.26,4,307,21.0,386.75,14.67,17.5
0.80271,0,8.14,0,0.538,5.46,37,3.8,4,307,21.0,288.99,11.69,20.2
0.7258,0,8.14,0,0.538,5.73,70,3.8,4,307,21.0,390.95,11.28,18.2
1.25179,0,8.14,0,0.538,5.57,98,3.8,4,307,21.0,376.57,21.02,13.6
0.85204,0,8.14,0,0.538,5.96,89,4.01,4,307,21.0,392.53,13.83,19.6
1.23247,0,8.14,0,0.538,6.14,92,3.98,4,307,21.0,396.9,18.72,15.2
0.98843,0,8.14,0,0.538,5.81,100,4.1,4,307,21.0,394.54,19.88,14.5
0.75026,0,8.14,0,0.538,5.92,94,4.4,4,307,21.0,394.33,16.3,15.6
0.84054,0,8.14,0,0.538,5.6,86,4.45,4,307,21.0,303.42,16.51,13.9
0.67191,0,8.14,0,0.538,5.81,90,4.68,4,307,21.0,376.88,14.81,16.6
0.95577,0,8.14,0,0.538,6.05,89,4.45,4,307,21.0,306.38,17.28,14.8
0.77299,0,8.14,0,0.538,6.5,94,4.45,4,307,21.0,387.94,12.8,18.4
1.00245,0,8.14,0,0.538,6.67,87,4.24,4,307,21.0,380.23,11.98,21.0
1.13081,0,8.14,0,0.538,5.71,94,4.23,4,307,21.0,360.17,22.6,12.7
1.35472,0,8.14,0,0.538,6.07,100,4.18,4,307,21.0,376.73,13.04,14.5
1.38799,0,8.14,0,0.538,5.95,82,3.99,4,307,21.0,232.6,27.71,13.2
1.15172,0,8.14,0,0.538,5.7,95,3.79,4,307,21.0,358.77,18.35,13.1
1.61282,0,8.14,0,0.538,6.1,97,3.76,4,307,21.0,248.31,20.34,13.5
0.06417,0,5.96,0,0.499,5.93,68,3.36,5,279,19.2,396.9,9.68,18.9
0.09744,0,5.96,0,0.499,5.84,61,3.38,5,279,19.2,377.56,11.41,20.0
0.08014,0,5.96,0,0.499,5.85,42,3.93,5,279,19.2,396.9,8.77,21.0
0.17505,0,5.96,0,0.499,5.97,30,3.85,5,279,19.2,393.43,10.13,24.7
0.02763,75,2.95,0,0.428,6.6,22,5.4,3,252,18.3,395.63,4.32,30.8
0.03359,75,2.95,0,0.428,7.02,16,5.4,3,252,18.3,395.62,1.98,34.9
0.12744,0,6.91,0,0.448,6.77,3,5.72,3,233,17.9,385.41,4.84,26.6
0.1415,0,6.91,0,0.448,6.17,7,5.72,3,233,17.9,383.37,5.81,25.3
0.15936,0,6.91,0,0.448,6.21,6,5.72,3,233,17.9,394.46,7.44,24.7
0.12269,0,6.91,0,0.448,6.07,40,5.72,3,233,17.9,389.39,9.55,21.2
0.17142,0,6.91,0,0.448,5.68,34,5.1,3,233,17.9,396.9,10.21,19.3
0.18836,0,6.91,0,0.448,5.79,33,5.1,3,233,17.9,396.9,14.15,20.0
0.22927,0,6.91,0,0.448,6.03,86,5.69,3,233,17.9,392.74,18.8,16.6
0.25387,0,6.91,0,0.448,5.4,95,5.87,3,233,17.9,396.9,30.81,14.4
0.21977,0,6.91,0,0.448,5.6,62,6.09,3,233,17.9,396.9,16.2,19.4
0.08873,21,5.64,0,0.439,5.96,46,6.81,4,243,16.8,395.56,13.45,19.7
0.04337,21,5.64,0,0.439,6.12,63,6.81,4,243,16.8,393.97,9.43,20.5
0.0536,21,5.64,0,0.439,6.51,21,6.81,4,243,16.8,396.9,5.28,25.0
0.04981,21,5.64,0,0.439,6.0,21,6.81,4,243,16.8,396.9,8.43,23.4
0.0136,75,4.0,0,0.41,5.89,48,7.32,3,469,21.1,396.9,14.8,18.9
0.01311,90,1.22,0,0.403,7.25,22,8.7,5,226,17.9,395.93,4.81,35.4
0.02055,85,0.74,0,0.41,6.38,36,9.19,2,313,17.3,396.9,5.77,24.7
0.01432,100,1.32,0,0.411,6.82,40,8.32,5,256,15.1,392.9,3.95,31.6
0.15445,25,5.13,0,0.453,6.14,29,7.81,8,284,19.7,390.68,6.86,23.3
0.10328,25,5.13,0,0.453,5.93,47,6.93,8,284,19.7,396.9,9.22,19.6
0.14932,25,5.13,0,0.453,5.74,66,7.23,8,284,19.7,395.11,13.15,18.7
0.17171,25,5.13,0,0.453,5.97,93,6.82,8,284,19.7,378.08,14.44,16.0
0.11027,25,5.13,0,0.453,6.46,68,7.23,8,284,19.7,396.9,6.73,22.2
0.1265,25,5.13,0,0.453,6.76,43,7.98,8,284,19.7,395.58,9.5,25.0
0.01951,18,1.38,0,0.4161,7.1,60,9.22,3,216,18.6,393.24,8.05,33.0
0.03584,80,3.37,0,0.398,6.29,18,6.61,4,337,16.1,396.9,4.67,23.5
0.04379,80,3.37,0,0.398,5.79,31,6.61,4,337,16.1,396.9,10.24,19.4
0.05789,12,6.07,0,0.409,5.88,21,6.5,4,345,18.9,396.21,8.1,22.0
0.13554,12,6.07,0,0.409,5.59,37,6.5,4,345,18.9,396.9,13.09,17.4
0.12816,12,6.07,0,0.409,5.88,33,6.5,4,345,18.9,396.9,8.79,20.9
0.08826,0,10.81,0,0.413,6.42,7,5.29,4,305,19.2,383.73,6.72,24.2
0.15876,0,10.81,0,0.413,5.96,18,5.29,4,305,19.2,376.94,9.88,21.7
0.09164,0,10.81,0,0.413,6.06,8,5.29,4,305,19.2,390.91,5.52,22.8
0.19539,0,10.81,0,0.413,6.24,6,5.29,4,305,19.2,377.17,7.54,23.4
0.07896,0,12.83,0,0.437,6.27,6,4.25,5,398,18.7,394.92,6.78,24.1
0.09512,0,12.83,0,0.437,6.29,45,4.5,5,398,18.7,383.23,8.94,21.4
0.10153,0,12.83,0,0.437,6.28,74,4.05,5,398,18.7,373.66,11.97,20.0
0.08707,0,12.83,0,0.437,6.14,46,4.09,5,398,18.7,386.96,10.27,20.8
0.05646,0,12.83,0,0.437,6.23,54,5.01,5,398,18.7,386.4,12.34,21.2
0.08387,0,12.83,0,0.437,5.87,37,4.5,5,398,18.7,396.06,9.1,20.3
0.04113,25,4.86,0,0.426,6.73,34,5.4,4,281,19.0,396.9,5.29,28.0
0.04462,25,4.86,0,0.426,6.62,70,5.4,4,281,19.0,395.63,7.22,23.9
0.03659,25,4.86,0,0.426,6.3,32,5.4,4,281,19.0,396.9,6.72,24.8
0.03551,25,4.86,0,0.426,6.17,47,5.4,4,281,19.0,390.64,7.51,22.9
0.05059,0,4.49,0,0.449,6.39,48,4.78,3,247,18.5,396.9,9.62,23.9
0.05735,0,4.49,0,0.449,6.63,56,4.44,3,247,18.5,392.3,6.53,26.6
0.05188,0,4.49,0,0.449,6.02,45,4.43,3,247,18.5,395.99,12.86,22.5
0.07151,0,4.49,0,0.449,6.12,57,3.75,3,247,18.5,395.15,8.44,22.2
0.0566,0,3.41,0,0.489,7.01,86,3.42,2,270,17.8,396.9,5.5,23.6
0.05302,0,3.41,0,0.489,7.08,63,3.41,2,270,17.8,396.06,5.7,28.7
0.04684,0,3.41,0,0.489,6.42,66,3.09,2,270,17.8,392.18,8.81,22.6
0.03932,0,3.41,0,0.489,6.4,74,3.09,2,270,17.8,393.55,8.2,22.0
0.04203,28,15.04,0,0.464,6.44,54,3.67,4,270,18.2,395.01,8.16,22.9
0.02875,28,15.04,0,0.464,6.21,29,3.67,4,270,18.2,396.33,6.21,25.0
0.04294,28,15.04,0,0.464,6.25,77,3.62,4,270,18.2,396.9,10.59,20.6
0.12204,0,2.89,0,0.445,6.62,58,3.5,2,276,18.0,357.98,6.65,28.4
0.11504,0,2.89,0,0.445,6.16,70,3.5,2,276,18.0,391.83,11.34,21.4
0.12083,0,2.89,0,0.445,8.07,76,3.5,2,276,18.0,396.9,4.21,38.7
0.08187,0,2.89,0,0.445,7.82,37,3.5,2,276,18.0,393.53,3.57,43.8
0.0686,0,2.89,0,0.445,7.42,62,3.5,2,276,18.0,396.9,6.19,33.2
0.14866,0,8.56,0,0.52,6.73,80,2.78,5,384,20.9,394.76,9.42,27.5
0.11432,0,8.56,0,0.52,6.78,71,2.86,5,384,20.9,395.58,7.67,26.5
0.22876,0,8.56,0,0.52,6.4,85,2.71,5,384,20.9,70.8,10.63,18.6
0.21161,0,8.56,0,0.52,6.14,87,2.71,5,384,20.9,394.47,13.44,19.3
0.1396,0,8.56,0,0.52,6.17,90,2.42,5,384,20.9,392.69,12.33,20.1
0.13262,0,8.56,0,0.52,5.85,97,2.11,5,384,20.9,394.05,16.47,19.5
0.1712,0,8.56,0,0.52,5.84,92,2.21,5,384,20.9,395.67,18.66,19.5
0.13117,0,8.56,0,0.52,6.13,85,2.12,5,384,20.9,387.69,14.09,20.4
0.12802,0,8.56,0,0.52,6.47,97,2.43,5,384,20.9,395.24,12.27,19.8
0.26363,0,8.56,0,0.52,6.23,91,2.55,5,384,20.9,391.23,15.55,19.4
0.10793,0,8.56,0,0.52,6.2,54,2.78,5,384,20.9,393.49,13.0,21.7
0.10084,0,10.01,0,0.547,6.72,82,2.68,6,432,17.8,395.59,10.16,22.8
0.12329,0,10.01,0,0.547,5.91,93,2.35,6,432,17.8,394.95,16.21,18.8
0.22212,0,10.01,0,0.547,6.09,95,2.55,6,432,17.8,396.9,17.09,18.7
0.14231,0,10.01,0,0.547,6.25,84,2.26,6,432,17.8,388.74,10.45,18.5
0.17134,0,10.01,0,0.547,5.93,88,2.46,6,432,17.8,344.91,15.76,18.3
0.13158,0,10.01,0,0.547,6.18,72,2.73,6,432,17.8,393.3,12.04,21.2
0.15098,0,10.01,0,0.547,6.02,83,2.75,6,432,17.8,394.51,10.3,19.2
0.13058,0,10.01,0,0.547,5.87,73,2.48,6,432,17.8,338.63,15.37,20.4
0.14476,0,10.01,0,0.547,5.73,65,2.76,6,432,17.8,391.5,13.61,19.3
0.06899,0,25.65,0,0.581,5.87,70,2.26,2,188,19.1,389.15,14.37,22.0
0.07165,0,25.65,0,0.581,6.0,84,2.2,2,188,19.1,377.67,14.27,20.3
0.09299,0,25.65,0,0.581,5.96,93,2.09,2,188,19.1,378.09,17.93,20.5
0.15038,0,25.65,0,0.581,5.86,97,1.94,2,188,19.1,370.31,25.41,17.3
0.09849,0,25.65,0,0.581,5.88,96,2.01,2,188,19.1,379.38,17.58,18.8
0.16902,0,25.65,0,0.581,5.99,88,1.99,2,188,19.1,385.02,14.81,21.4
0.38735,0,25.65,0,0.581,5.61,96,1.76,2,188,19.1,359.29,27.26,15.7
0.25915,0,21.89,0,0.624,5.69,96,1.79,4,437,21.2,392.11,17.19,16.2
0.32543,0,21.89,0,0.624,6.43,99,1.81,4,437,21.2,396.9,15.39,18.0
0.88125,0,21.89,0,0.624,5.64,95,1.98,4,437,21.2,396.9,18.34,14.3
0.34006,0,21.89,0,0.624,6.46,99,2.12,4,437,21.2,395.04,12.6,19.2
1.19294,0,21.89,0,0.624,6.33,98,2.27,4,437,21.2,396.9,12.26,19.6
0.59005,0,21.89,0,0.624,6.37,98,2.33,4,437,21.2,385.76,11.12,23.0
0.32982,0,21.89,0,0.624,5.82,95,2.47,4,437,21.2,388.69,15.03,18.4
0.97617,0,21.89,0,0.624,5.76,98,2.35,4,437,21.2,262.76,17.31,15.6
0.55778,0,21.89,0,0.624,6.34,98,2.11,4,437,21.2,394.67,16.96,18.1
0.32264,0,21.89,0,0.624,5.94,94,1.97,4,437,21.2,378.25,16.9,17.4
0.35233,0,21.89,0,0.624,6.45,98,1.85,4,437,21.2,394.08,14.59,17.1
0.2498,0,21.89,0,0.624,5.86,98,1.67,4,437,21.2,392.04,21.32,13.3
0.54452,0,21.89,0,0.624,6.15,98,1.67,4,437,21.2,396.9,18.46,17.8
0.2909,0,21.89,0,0.624,6.17,94,1.61,4,437,21.2,388.08,24.16,14.0
1.62864,0,21.89,0,0.624,5.02,100,1.44,4,437,21.2,396.9,34.41,14.4
3.32105,0,19.58,1,0.871,5.4,100,1.32,5,403,14.7,396.9,26.82,13.4
4.0974,0,19.58,0,0.871,5.47,100,1.41,5,403,14.7,396.9,26.42,15.6
2.77974,0,19.58,0,0.871,4.9,98,1.35,5,403,14.7,396.9,29.29,11.8
2.37934,0,19.58,0,0.871,6.13,100,1.42,5,403,14.7,172.91,27.8,13.8
2.15505,0,19.58,0,0.871,5.63,100,1.52,5,403,14.7,169.27,16.65,15.6
2.36862,0,19.58,0,0.871,4.93,96,1.46,5,403,14.7,391.71,29.53,14.6
2.33099,0,19.58,0,0.871,5.19,94,1.53,5,403,14.7,356.99,28.32,17.8
2.73397,0,19.58,0,0.871,5.6,95,1.53,5,403,14.7,351.85,21.45,15.4
1.6566,0,19.58,0,0.871,6.12,97,1.62,5,403,14.7,372.8,14.1,21.5
1.49632,0,19.58,0,0.871,5.4,100,1.59,5,403,14.7,341.6,13.28,19.6
1.12658,0,19.58,1,0.871,5.01,88,1.61,5,403,14.7,343.28,12.12,15.3
2.14918,0,19.58,0,0.871,5.71,98,1.62,5,403,14.7,261.95,15.79,19.4
1.41385,0,19.58,1,0.871,6.13,96,1.75,5,403,14.7,321.02,15.12,17.0
3.53501,0,19.58,1,0.871,6.15,83,1.75,5,403,14.7,88.01,15.02,15.6
2.44668,0,19.58,0,0.871,5.27,94,1.74,5,403,14.7,88.63,16.14,13.1
1.22358,0,19.58,0,0.605,6.94,97,1.88,5,403,14.7,363.43,4.59,41.3
1.34284,0,19.58,0,0.605,6.07,100,1.76,5,403,14.7,353.89,6.43,24.3
1.42502,0,19.58,0,0.871,6.51,100,1.77,5,403,14.7,364.31,7.39,23.3
1.27346,0,19.58,1,0.605,6.25,93,1.8,5,403,14.7,338.92,5.5,27.0
1.46336,0,19.58,0,0.605,7.49,91,1.97,5,403,14.7,374.43,1.73,50.0
1.83377,0,19.58,1,0.605,7.8,98,2.04,5,403,14.7,389.61,1.92,50.0
1.51902,0,19.58,1,0.605,8.38,94,2.16,5,403,14.7,388.45,3.32,50.0
2.24236,0,19.58,0,0.605,5.85,92,2.42,5,403,14.7,395.11,11.64,22.7
2.924,0,19.58,0,0.605,6.1,93,2.28,5,403,14.7,240.16,9.81,25.0
2.01019,0,19.58,0,0.605,7.93,96,2.05,5,403,14.7,369.3,3.7,50.0
1.80028,0,19.58,0,0.605,5.88,79,2.43,5,403,14.7,227.61,12.14,23.8
2.3004,0,19.58,0,0.605,6.32,96,2.1,5,403,14.7,297.09,11.1,23.8
2.44953,0,19.58,0,0.605,6.4,95,2.26,5,403,14.7,330.04,11.32,22.3
1.20742,0,19.58,0,0.605,5.88,95,2.43,5,403,14.7,292.29,14.43,17.4
2.3139,0,19.58,0,0.605,5.88,97,2.39,5,403,14.7,348.13,12.03,19.1
0.13914,0,4.05,0,0.51,5.57,88,2.6,5,296,16.6,396.9,14.69,23.1
0.09178,0,4.05,0,0.51,6.42,84,2.65,5,296,16.6,395.5,9.04,23.6
0.08447,0,4.05,0,0.51,5.86,69,2.7,5,296,16.6,393.23,9.64,22.6
0.06664,0,4.05,0,0.51,6.55,33,3.13,5,296,16.6,390.96,5.33,29.4
0.07022,0,4.05,0,0.51,6.02,47,3.55,5,296,16.6,393.23,10.11,23.2
0.05425,0,4.05,0,0.51,6.32,73,3.32,5,296,16.6,395.6,6.29,24.6
0.06642,0,4.05,0,0.51,6.86,74,2.92,5,296,16.6,391.27,6.92,29.9
0.0578,0,2.46,0,0.488,6.98,58,2.83,3,193,17.8,396.9,5.04,37.2
0.06588,0,2.46,0,0.488,7.76,83,2.74,3,193,17.8,395.56,7.56,39.8
0.06888,0,2.46,0,0.488,6.14,62,2.6,3,193,17.8,396.9,9.45,36.2
0.09103,0,2.46,0,0.488,7.16,92,2.7,3,193,17.8,394.12,4.82,37.9
0.10008,0,2.46,0,0.488,6.56,96,2.85,3,193,17.8,396.9,5.68,32.5
0.08308,0,2.46,0,0.488,5.6,90,2.99,3,193,17.8,391.0,13.98,26.4
0.06047,0,2.46,0,0.488,6.15,69,3.28,3,193,17.8,387.11,13.15,29.6
0.05602,0,2.46,0,0.488,7.83,54,3.2,3,193,17.8,392.63,4.45,50.0
0.07875,45,3.44,0,0.437,6.78,41,3.79,5,398,15.2,393.87,6.68,32.0
0.12579,45,3.44,0,0.437,6.56,29,4.57,5,398,15.2,382.84,4.56,29.8
0.0837,45,3.44,0,0.437,7.18,39,4.57,5,398,15.2,396.9,5.39,34.9
0.09068,45,3.44,0,0.437,6.95,22,6.48,5,398,15.2,377.68,5.1,37.0
0.06911,45,3.44,0,0.437,6.74,31,6.48,5,398,15.2,389.71,4.69,30.5
0.08664,45,3.44,0,0.437,7.18,26,6.48,5,398,15.2,390.49,2.87,36.4
0.02187,60,2.93,0,0.401,6.8,10,6.22,1,265,15.6,393.37,5.03,31.1
0.01439,60,2.93,0,0.401,6.6,19,6.22,1,265,15.6,376.7,4.38,29.1
0.01381,80,0.46,0,0.422,7.88,32,5.65,4,255,14.4,394.23,2.97,50.0
0.04011,80,1.52,0,0.404,7.29,34,7.31,2,329,12.6,396.9,4.08,33.3
0.04666,80,1.52,0,0.404,7.11,37,7.31,2,329,12.6,354.31,8.61,30.3
0.03768,80,1.52,0,0.404,7.27,38,7.31,2,329,12.6,392.2,6.62,34.6
0.0315,95,1.47,0,0.403,6.98,15,7.65,3,402,17.0,396.9,4.56,34.9
0.01778,95,1.47,0,0.403,7.14,14,7.65,3,402,17.0,384.3,4.45,32.9
0.03445,82,2.03,0,0.415,6.16,38,6.27,2,348,14.7,393.77,7.43,24.1
0.02177,82,2.03,0,0.415,7.61,16,6.27,2,348,14.7,395.38,3.11,42.3
0.0351,95,2.68,0,0.4161,7.85,33,5.12,4,224,14.7,392.78,3.81,48.5
0.02009,95,2.68,0,0.4161,8.03,32,5.12,4,224,14.7,390.55,2.88,50.0
0.13642,0,10.59,0,0.489,5.89,22,3.95,4,277,18.6,396.9,10.87,22.6
0.22969,0,10.59,0,0.489,6.33,52,4.35,4,277,18.6,394.87,10.97,24.4
0.25199,0,10.59,0,0.489,5.78,73,4.35,4,277,18.6,389.43,18.06,22.5
0.13587,0,10.59,1,0.489,6.06,59,4.24,4,277,18.6,381.32,14.66,24.4
0.43571,0,10.59,1,0.489,5.34,100,3.88,4,277,18.6,396.9,23.09,20.0
0.17446,0,10.59,1,0.489,5.96,92,3.88,4,277,18.6,393.25,17.27,21.7
0.37578,0,10.59,1,0.489,5.4,89,3.66,4,277,18.6,395.24,23.98,19.3
0.21719,0,10.59,1,0.489,5.81,54,3.65,4,277,18.6,390.94,16.03,22.4
0.14052,0,10.59,0,0.489,6.38,32,3.95,4,277,18.6,385.81,9.38,28.1
0.28955,0,10.59,0,0.489,5.41,10,3.59,4,277,18.6,348.93,29.55,23.7
0.19802,0,10.59,0,0.489,6.18,42,3.95,4,277,18.6,393.63,9.47,25.0
0.0456,0,13.89,1,0.55,5.89,56,3.11,5,276,16.4,392.8,13.51,23.3
0.07013,0,13.89,0,0.55,6.64,85,3.42,5,276,16.4,392.78,9.69,28.7
0.11069,0,13.89,1,0.55,5.95,94,2.89,5,276,16.4,396.9,17.92,21.5
0.11425,0,13.89,1,0.55,6.37,92,3.36,5,276,16.4,393.74,10.5,23.0
0.35809,0,6.2,1,0.507,6.95,88,2.86,8,307,17.4,391.7,9.71,26.7
0.40771,0,6.2,1,0.507,6.16,91,3.05,8,307,17.4,395.24,21.46,21.7
0.62356,0,6.2,1,0.507,6.88,78,3.27,8,307,17.4,390.39,9.93,27.5
0.6147,0,6.2,0,0.507,6.62,81,3.27,8,307,17.4,396.9,7.6,30.1
0.31533,0,6.2,0,0.504,8.27,78,2.89,8,307,17.4,385.05,4.14,44.8
0.52693,0,6.2,0,0.504,8.72,83,2.89,8,307,17.4,382.0,4.63,50.0
0.38214,0,6.2,0,0.504,8.04,86,3.22,8,307,17.4,387.38,3.13,37.6
0.41238,0,6.2,0,0.504,7.16,80,3.22,8,307,17.4,372.08,6.36,31.6
0.29819,0,6.2,0,0.504,7.69,17,3.38,8,307,17.4,377.51,3.92,46.7
0.44178,0,6.2,0,0.504,6.55,21,3.38,8,307,17.4,380.34,3.76,31.5
0.537,0,6.2,0,0.504,5.98,68,3.67,8,307,17.4,378.35,11.65,24.3
0.46296,0,6.2,0,0.504,7.41,77,3.67,8,307,17.4,376.14,5.25,31.7
0.57529,0,6.2,0,0.507,8.34,73,3.84,8,307,17.4,385.91,2.47,41.7
0.33147,0,6.2,0,0.507,8.25,70,3.65,8,307,17.4,378.95,3.95,48.3
0.44791,0,6.2,1,0.507,6.73,66,3.65,8,307,17.4,360.2,8.05,29.0
0.33045,0,6.2,0,0.507,6.09,62,3.65,8,307,17.4,376.75,10.88,24.0
0.52058,0,6.2,1,0.507,6.63,76,4.15,8,307,17.4,388.45,9.54,25.1
0.51183,0,6.2,0,0.507,7.36,72,4.15,8,307,17.4,390.07,4.73,31.5
0.08244,30,4.93,0,0.428,6.48,18,6.19,6,300,16.6,379.41,6.36,23.7
0.09252,30,4.93,0,0.428,6.61,42,6.19,6,300,16.6,383.78,7.37,23.3
0.11329,30,4.93,0,0.428,6.9,54,6.34,6,300,16.6,391.25,11.38,22.0
0.10612,30,4.93,0,0.428,6.1,65,6.34,6,300,16.6,394.62,12.4,20.1
0.1029,30,4.93,0,0.428,6.36,53,7.04,6,300,16.6,372.75,11.22,22.2
0.12757,30,4.93,0,0.428,6.39,8,7.04,6,300,16.6,374.71,5.19,23.7
0.20608,22,5.86,0,0.431,5.59,76,7.95,7,330,19.1,372.49,12.5,17.6
0.19133,22,5.86,0,0.431,5.6,70,7.95,7,330,19.1,389.13,18.46,18.5
0.33983,22,5.86,0,0.431,6.11,35,8.06,7,330,19.1,390.18,9.16,24.3
0.19657,22,5.86,0,0.431,6.23,79,8.06,7,330,19.1,376.14,10.15,20.5
0.16439,22,5.86,0,0.431,6.43,49,7.83,7,330,19.1,374.71,9.52,24.5
0.19073,22,5.86,0,0.431,6.72,18,7.83,7,330,19.1,393.74,6.56,26.2
0.1403,22,5.86,0,0.431,6.49,13,7.4,7,330,19.1,396.28,5.9,24.4
0.21409,22,5.86,0,0.431,6.44,9,7.4,7,330,19.1,377.07,3.59,24.8
